1.37.0.0,1.37.255.255,65536,05/04/11,
27.108.0.0,27.108.255.255,65536,08/06/10,
27.109.64.0,27.109.95.255,8192,11/06/10,
27.110.128.0,27.110.255.255,32768,24/06/10,
27.123.224.0,27.123.255.255,8192,11/10/10,
27.124.64.0,27.124.79.255,4096,11/10/10,
49.144.0.0,49.151.255.255,524288,22/11/10,
49.157.0.0,49.157.255.255,65536,26/11/10,
58.69.0.0,58.69.255.255,65536,01/04/05,
58.71.0.0,58.71.127.255,32768,01/04/05,
61.9.0.0,61.9.127.255,32768,26/11/99,
61.14.192.0,61.14.255.255,16384,09/05/02,
61.28.128.0,61.28.191.255,16384,09/12/04,
101.78.16.0,101.78.31.255,4096,14/12/10,
110.44.96.0,110.44.111.255,4096,11/03/09,
110.44.128.0,110.44.143.255,4096,11/03/09,
110.50.224.0,110.50.239.255,4096,26/03/09,
110.54.128.0,110.54.255.255,32768,25/03/09,
110.55.0.0,110.55.255.255,65536,25/03/09,
110.93.64.0,110.93.95.255,8192,22/04/09,
110.232.160.0,110.232.175.255,4096,25/05/09,
111.68.32.0,111.68.63.255,8192,09/06/09,
111.125.64.0,111.125.127.255,16384,06/07/09,
111.235.80.0,111.235.95.255,4096,13/08/09,
112.78.48.0,112.78.63.255,4096,02/01/09,
112.109.0.0,112.109.15.255,4096,14/01/09,
112.196.224.0,112.196.255.255,8192,16/02/09,
112.198.0.0,112.198.255.255,65536,12/02/09,
112.199.0.0,112.199.127.255,32768,16/02/09,
112.200.0.0,112.207.255.255,524288,16/02/09,
112.208.0.0,112.211.255.255,262144,16/02/09,
113.20.160.0,113.20.191.255,8192,08/10/08,
113.61.32.0,113.61.63.255,8192,03/11/08,
114.108.192.0,114.108.255.255,16384,21/05/08,
114.198.128.0,114.198.159.255,8192,26/06/08,
115.31.64.0,115.31.79.255,4096,08/07/08,
115.84.224.0,115.84.255.255,8192,28/07/08,
115.85.0.0,115.85.63.255,16384,28/07/08,
115.146.128.0,115.146.255.255,32768,15/08/08,
115.147.0.0,115.147.255.255,65536,15/08/08,
116.50.128.0,116.50.255.255,32768,22/03/07,
116.93.0.0,116.93.127.255,32768,23/05/07,
117.58.192.0,117.58.223.255,8192,06/07/07,
117.104.240.0,117.104.255.255,4096,27/07/07,
119.42.32.0,119.42.63.255,8192,03/02/11,
119.63.0.0,119.63.15.255,4096,18/01/08,
119.92.0.0,119.95.255.255,262144,01/02/08,
